City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
morristown,36.21,-83.29,70.0,100,1,1.3,US,1595751958
muros,42.78,-9.06,71.01,76,9,5.99,ES,1595751960
komsomolskiy,40.43,71.72,95.0,23,0,6.93,UZ,1595751962
sile,41.18,29.61,78.01,66,0,1.99,TR,1595751964
perbaungan,3.57,98.96,87.8,74,40,12.75,ID,1595751966
okhotsk,59.38,143.3,61.16,67,7,16.17,RU,1595751968
suzzara,44.99,10.74,78.01,67,100,0.2,IT,1595751971
chunskiy,56.08,99.63,72.23,80,100,5.44,RU,1595751973
vasudevanallur,9.23,77.42,93.7,39,45,9.8,IN,1595751975
santiago,-33.46,-70.65,42.8,87,100,3.36,CL,1595751889
hanzhong,33.07,107.03,87.82,55,0,3.24,CN,1595751980
san policarpo,12.18,125.51,85.66,70,0,6.73,PH,1595751982
sinnamary,5.38,-52.95,75.4,91,8,5.82,GF,1595751984
sobolevo,54.43,31.9,68.43,83,75,3.36,RU,1595751987
sarkand,45.41,79.92,93.07,14,13,11.43,KZ,1595751989
nuevo progreso,23.17,-97.95,82.99,88,100,10.0,MX,1595751991
ribeira grande,38.52,-28.7,71.6,94,75,8.05,PT,1595751993
atasu,48.68,71.64,75.9,38,100,4.85,KZ,1595751995
kiunga,-6.12,141.29,78.4,96,100,1.88,PG,1595751997
russell,32.35,-85.2,71.6,94,1,3.36,US,1595752000
mitsamiouli,-11.38,43.28,77.65,66,100,11.3,KM,1595752002
kahului,20.89,-156.47,82.4,65,40,17.22,US,1595751882
cap malheureux,-19.98,57.61,66.99,83,86,10.0,MU,1595752006
salo,45.61,10.53,77.0,57,100,4.7,IT,1595752008
torquay,50.46,-3.51,64.99,80,43,5.99,GB,1595752010
warrnambool,-38.38,142.48,48.99,86,99,2.68,AU,1595751761
half moon bay,37.46,-122.43,60.8,93,90,6.93,US,1595752015
banda aceh,5.56,95.32,84.61,74,39,14.63,ID,1595752017
dudinka,69.41,86.18,55.4,54,98,29.08,RU,1595752019
ngunguru,-35.62,174.5,50.0,3,1,7.23,NZ,1595752021
washington,47.5,-120.5,69.8,46,1,6.93,US,1595752023
wasilla,61.58,-149.44,55.4,76,75,3.36,US,1595751918
vra,57.35,9.95,64.0,95,100,5.01,DK,1595752028
havoysund,71.0,24.66,68.0,52,0,27.51,NO,1595752030
pavilosta,56.89,21.19,68.0,64,0,6.93,LV,1595752032
yulara,-25.24,130.99,68.0,24,0,5.82,AU,1595752034
shache,38.42,77.24,100.94,9,37,11.88,CN,1595752036
angoche,-16.23,39.91,75.88,58,15,8.68,MZ,1595752038
shenjiamen,29.96,122.3,76.69,89,100,8.68,CN,1595752040
jiexiu,37.02,111.91,87.91,38,3,6.82,CN,1595752042
kupino,54.37,77.3,74.7,47,0,12.77,RU,1595752045
penukonda,14.08,77.58,83.64,58,100,11.43,IN,1595752047
dalnerechensk,45.93,133.72,79.77,68,84,4.12,RU,1595752049
jalu,29.03,21.55,88.36,28,0,6.4,LY,1595752051
chik,54.99,82.43,69.8,68,100,6.71,RU,1595752053
lasa,46.62,10.7,64.0,87,75,3.36,IT,1595752055
sitka,57.05,-135.33,55.4,93,90,7.56,US,1595752058
galanta,48.19,17.73,78.01,74,56,1.99,SK,1595751940
ciro marina,39.37,17.13,78.8,54,0,12.75,IT,1595752062
merauke,-8.47,140.33,80.65,77,39,18.66,ID,1595752064
kanniyakumari,8.08,77.57,85.01,65,98,20.45,IN,1595752066
longyearbyen,78.22,15.64,60.8,72,49,10.29,SJ,1595752068
college,64.86,-147.8,55.4,87,75,2.3,US,1595752070
aykhal,66.0,111.5,42.8,87,90,13.42,RU,1595752072
rio grande,-32.03,-52.1,36.0,97,4,6.85,BR,1595751894
mayskiy,47.69,40.1,87.8,22,1,17.9,RU,1595752077
talcahuano,-36.72,-73.12,55.4,93,100,11.41,CL,1595752079
sokolniki,50.64,21.81,80.01,54,100,3.0,PL,1595752081
chagoda,59.16,35.33,67.75,70,73,5.23,RU,1595752083
majalengka,-6.84,108.23,87.06,46,89,7.07,ID,1595752085
songjianghe,42.19,127.48,76.89,81,71,2.21,CN,1595752087
sao joao,-8.88,-36.37,59.58,99,64,6.73,BR,1595752089
ocampo,21.65,-101.5,59.94,80,100,9.64,MX,1595752091
aranos,-24.13,19.12,62.15,33,0,11.97,NA,1595752094
sawtell,-30.38,153.1,57.2,93,90,5.82,AU,1595752096
takoradi,4.88,-1.76,76.86,79,79,6.78,GH,1595752098
itoman,26.12,127.67,86.0,79,75,12.75,JP,1595752100
katobu,-4.94,122.53,84.24,63,19,7.52,ID,1595752102
anadyr,64.75,177.48,66.2,72,65,15.66,RU,1595752104
bossangoa,6.49,17.46,74.48,90,91,3.94,CF,1595752106
nalhati,24.3,87.82,95.38,49,100,4.83,IN,1595752109
minggang,32.46,114.05,72.46,94,100,10.02,CN,1595752111
kautokeino,69.01,23.04,57.34,78,84,18.57,NO,1595752113
luau,-10.71,22.22,70.83,33,52,6.44,AO,1595752115
zalantun,48.0,122.72,95.68,23,98,11.5,CN,1595752117
mildura,-34.2,142.15,55.99,54,48,3.36,AU,1595751902
harper,4.38,-7.72,76.24,72,100,6.4,LR,1595752122
kapoeta,4.77,33.59,72.21,85,100,5.39,SS,1595752124
baherden,38.44,57.43,100.53,21,0,5.99,TM,1595752126
manjeshwar,12.72,74.89,82.4,78,75,11.41,IN,1595752128
mirnyy,62.54,113.96,66.2,55,75,15.66,RU,1595752130
natal,-5.79,-35.21,69.8,94,40,6.93,BR,1595752054
zherdevka,51.85,41.46,74.41,44,0,4.74,RU,1595752134
ahuimanu,21.44,-157.84,80.6,74,90,13.87,US,1595752137
bereda,43.27,-7.54,72.0,81,11,3.0,ES,1595752139
hargeysa,9.56,44.06,78.57,44,1,29.73,SO,1595752141
khandyga,62.67,135.6,69.96,55,100,6.24,RU,1595752143
ust-ilimsk,58.0,102.66,79.32,31,96,3.58,RU,1595752145
nardaran,40.56,50.01,93.2,34,2,2.24,AZ,1595752147
akyab,20.15,92.9,86.45,74,100,13.49,MM,1595752149
yagodnoye,62.55,149.67,74.52,29,4,13.4,RU,1595752151
yekaterinoslavka,50.37,129.11,79.47,83,99,10.6,RU,1595752154
terra santa,-2.1,-56.49,73.33,78,0,2.28,BR,1595752156
miles city,46.41,-105.84,66.2,42,1,3.36,US,1595752158
aksu,41.12,80.26,97.34,13,24,8.68,CN,1595752160
ambilobe,-13.2,49.05,81.18,44,95,12.57,MG,1595752162
tadine,-21.55,167.88,71.29,80,32,16.78,NC,1595752164
batagay,67.63,134.63,77.94,28,80,18.63,RU,1595752166
herat,34.5,62.0,102.2,14,0,14.99,AF,1595751923
steinbach,50.17,8.57,72.0,64,40,14.99,DE,1595752171
anchorage,61.22,-149.9,57.0,71,90,3.69,US,1595752173
roma,43.21,-75.46,62.6,82,1,3.36,US,1595752175
emba,48.83,58.14,82.44,26,4,11.63,KZ,1595752177
huarmey,-10.07,-78.15,59.02,86,74,6.06,PE,1595752179
great falls,47.5,-111.3,59.0,54,1,6.93,US,1595751921
godda,24.83,87.22,97.34,43,21,4.07,IN,1595752183
kedgwick,47.64,-67.34,62.17,98,100,6.13,CA,1595752185
garmsar,35.22,52.34,100.6,14,0,4.0,IR,1595752188
mwanza,-2.52,32.9,71.6,49,0,13.87,TZ,1595752190
nouakchott,18.09,-15.98,78.8,78,75,16.11,MR,1595751975
eidfjord,60.47,7.07,54.0,86,100,7.02,NO,1595752194
puerto del rosario,28.5,-13.86,73.4,73,75,21.92,ES,1595752196
yarmouth,41.71,-70.23,78.01,88,1,10.29,US,1595752189
san quintin,30.48,-115.95,65.82,88,0,9.42,MX,1595752200
adrar,20.5,-10.07,86.23,37,0,14.18,MR,1595752203
emerald,-23.53,148.17,77.0,23,40,14.99,AU,1595752036
statesboro,32.45,-81.78,73.4,94,1,0.72,US,1595752207
vanimo,-2.67,141.3,79.03,86,100,10.69,PG,1595752209
balaipungut,1.05,101.28,89.6,55,20,11.41,ID,1595752211
mawlaik,23.63,94.42,92.66,62,100,3.69,MM,1595752213
gat,31.61,34.76,90.0,52,0,1.01,IL,1595752216
miandrivazo,-19.52,45.47,80.74,25,0,0.38,MG,1595752218
the valley,18.22,-63.06,82.4,83,75,12.75,AI,1595752220
chachapoyas,-6.23,-77.87,51.44,89,65,3.69,PE,1595752222
moron,-34.65,-58.62,48.0,71,0,1.01,AR,1595752224
geraldton,-28.77,114.6,75.2,41,0,3.36,AU,1595752226
san pedro,14.35,121.02,93.0,59,97,6.93,PH,1595752228
cabedelo,-6.98,-34.83,74.84,83,95,15.17,BR,1595752230
korem,12.51,39.52,66.31,60,100,4.61,ET,1595752232
tucuma,-0.18,-50.05,75.16,91,24,4.41,BR,1595752235
pochutla,15.74,-96.47,75.99,83,100,4.59,MX,1595752237
nishihara,26.18,127.76,86.0,74,75,11.41,JP,1595752239
toamasina,-18.17,49.38,69.8,77,75,16.11,MG,1595752241
saint-joseph,-21.37,55.62,73.4,60,54,31.09,RE,1595752243
atocha,-20.93,-66.23,29.32,58,1,5.21,BO,1595752245
lagos,6.58,3.75,78.8,83,40,11.41,NG,1595752184
kazachinskoye,57.7,93.28,68.49,66,92,2.73,RU,1595752250
cerro azul,21.2,-97.73,77.56,92,98,4.25,MX,1595752252
ontario,34.06,-117.65,68.0,68,1,4.7,US,1595751956
norden,53.6,7.2,66.99,82,75,10.29,DE,1595752081
buala,-8.14,159.59,80.24,80,100,9.19,SB,1595752258
wangaratta,-36.37,146.33,55.99,81,90,4.7,AU,1595752260
altamont,42.21,-121.74,68.0,34,1,13.87,US,1595752262
broken hill,-31.95,141.43,62.6,36,26,14.99,AU,1595752264
